#Pt,Dist,pC/ug/h,pC/ug/h,cGy/h,cGy/h,W(eV/par),W(eV/par),compt,phot,Rayl,ExcitRotat,Ionisation,Elastic,DissocNeutr,ExcitVibrat,Excitation,Attachment
#,Dist,medida,simu,medida,simu,medida,simu,simu,simu,simu,simu,simu,simu,simu,simu,simu,simu
#(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18)
P01,4.8,10.399,5.94799,12.02890,16.5939,11.5674,27.8983,0.000200532,0.000594698,0.000116026,154.358,0.597169,89.3109,0.288704,2.94581,0.0692926,0.0372965
P02,6.8,5.4056,2.75904,6.25310,7.6965,11.5678,27.8956,0.000093766,0.000275458,5.19239E-005,71.6181,0.277004,41.4405,0.133943,1.3666,0.0321125,0.0172979
P03,9.8,2.1957,1.14704,2.53997,3.19941,11.5679,27.8928,3.90018E-005,0.000114442,2.22818E-005,29.7881,0.115161,17.2369,0.0556419,0.568317,0.0133622,0.00719827
P04,12.8,1.5537,0.579761,1.79734,1.61708,11.5681,27.8922,1.98805E-005,5.74914E-005,1.09176E-005,15.0489,0.0582071,8.70763,0.0281513,0.287081,0.00676591,0.00363208
P05,13.74,1.3897,0.458266,1.60764,1.27786,11.5683,27.8847,1.62794E-005,4.54224E-005,9.24346E-006,11.8995,0.0460093,6.88529,0.0222213,0.226969,0.00532455,0.00287015
P06,16.24,0.99057,0.289765,1.14589,0.807686,11.568,27.8738,1.03718E-005,0.000028455,5.79628E-006,7.5205,0.0290919,4.35152,0.0140502,0.143479,0.00337397,0.00181406
P07,18.97,0.58233,0.193522,0.67363,0.539146,11.5678,27.8597,6.71071E-006,1.89997E-005,0.000003591,5.02316,0.0194293,2.90641,0.00938075,0.0958497,0.00224814,0.00121331
P08,22.8,0.5434,0.101127,0.62859,0.281653,11.5677,27.8514,3.64677E-006,9.86414E-006,2.06358E-006,2.62431,0.010153,1.51847,0.00490186,0.05007,0.00117875,0.000633061
P09,23.75,0.67227,0.0890375,0.77767,0.247911,11.5678,27.8434,3.30381E-006,8.61041E-006,1.75136E-006,2.31095,0.00893924,1.33719,0.00431257,0.0440743,0.00103835,0.000558774
P10,32.62,0.23636,0.0288222,0.27342,0.0802152,11.5679,27.831,0.000001124,2.7429E-006,5.59552E-007,0.748112,0.00289371,0.432863,0.00139588,0.0142679,0.000335616,0.000180699
P11,32.8,0.32773,0.0281025,0.37912,0.0781987,11.5681,27.8262,1.03731E-006,2.6673E-006,5.7347E-007,0.729343,0.00282144,0.421971,0.00136068,0.0139091,0.000327776,0.000176039
