P,x,y,z,   Dist ,NoPrimaries,cGyHour,pCmm3s,pCugHour,compt,phot,Rayl,Elastic,ExcitRotat,ExcitVibrat,Excitation,Ionisation,DissocNeutr,Attachment
0,0,0,4.8,4.8,1822640,7.67841,0.704488,2.53616,0.000251383,0.00027485,7.51549E-05,66.9772,105.498,2.07419,0.0429731,0.254626,0.095868,0.0121389
1,0,0,6.8,6.8,3675010,3.83511,0.351931,1.26695,0.000125692,0.000136371,3.76235E-05,33.4601,52.7038,1.03617,0.0214716,0.1272,0.0478898,0.00606165
2,0,0,9.8,9.8,7840510,1.80245,0.165396,0.595426,5.97488E-05,6.39141E-05,1.80692E-05,15.7242,24.7678,0.486879,0.0100806,0.0597799,0.0225042,0.00285235
3,0,0,12.8,12.8,13857900,1.02048,0.0936603,0.337177,3.36348E-05,3.61572E-05,1.00018E-05,8.90378,14.0251,0.275732,0.00571295,0.0338521,0.01274,0.00161426
4,0,5,12.8,13.74,16157500,0.875283,0.0803285,0.289183,2.88658E-05,3.10175E-05,0.000008675,7.63739,12.0299,0.236497,0.00489961,0.0290335,0.0109278,0.00138417
5,0,10,12.8,16.24,23534900,0.600053,0.0550735,0.198265,1.96536E-05,2.12918E-05,0.000005967,5.2363,8.24792,0.162141,0.00336025,0.0199055,0.00749181,0.000949108
6,14,0,12.8,18.97,33070200,0.426767,0.0391597,0.140975,1.39496E-05,1.51478E-05,4.22245E-06,3.72285,5.86403,0.115283,0.00238834,0.0141537,0.0053298,0.000674321
7,0,0,22.8,22.8,52261300,0.270376,0.0248144,0.0893319,8.88791E-06,9.58606E-06,2.64671E-06,2.35924,3.71619,0.0730512,0.00151299,0.00896879,0.00337573,0.000427253
8,0,20,12.8,23.75,57805300,0.24431,0.0224199,0.0807115,8.01476E-06,8.66648E-06,2.41873E-06,2.13184,3.35794,0.0660168,0.00136657,0.00810332,0.00305013,0.00038567
9,0,30,12.8,32.62,133511000,0.106145,0.00974041,0.0350655,3.49372E-06,3.75249E-06,1.04518e-0x6,0.926352,1.459,0.0286872,0.000594734,0.00352052,0.0013251,0.00016782
10,0,0,32.8,32.8,134487000,0.10536,0.00966657,0.0347997,3.45157E-06,3.72555E-06,1.02941E-06,0.918937,1.44746,0.0284546,0.000589616,0.00349383,0.00131522,0.000166634
11,0,0,40,40,239222000,0.0594646,0.00545829,0.0196499,1.98413E-06,2.09318E-06,5.87158E-07,0.518831,0.817292,0.0160662,0.000332972,0.00197282,0.000742628,9.40532E-05
12,0,0,50,50,482639000,0.0296014,0.00271784,0.00978422,0.000000983,1.03864E-06,2.93843E-07,0.25843,0.407047,0.00800375,0.000165804,0.000982321,0.000369548,4.68118E-05
13,0,0,60,60,918666000,0.0156703,0.00143851,0.00517865,5.28535E-07,5.45163E-07,1.50079E-07,0.136711,0.215362,0.00423342,8.76719E-05,0.000519929,0.000195708,2.48165E-05
