#Energy,Elastic,RotationalExc,Attachment,VibrationalExc,ElectronicExc,Ionisation
0.1,172.432778,1140.106003,0,0,0,0
0.2,97.434764,531.420416,0,0,0,0
0.3,65.322102,340.031439,0,0,0,0
0.4,50.619548,247.702984,0,0,0,0
0.5,42.806739,193.735774,0,0,0,0
0.6,37.778042,158.493726,0,0,0,0
0.7,34.305799,133.748042,0,0,0,0
0.8,32.4,115.458056,0.1,0,0,0
0.9,31.98516,101.412833,47.84,0,0,0
1,31.555107,90.303135,5.01,0.23,0,0
1.1,30.8,81.30541,0.1,0.334,0,0
1.2,30.34,73.87629,0.1,0.438,0,0
1.3,30.509166,67.643111,13.8,0.542,0,0
1.33,30.419868,65.964784,24.9,0.5732,0,0
1.4,30.220057,62.341958,8.8,0.646,0,0
1.5,30.05,57.780815,4.5,0.75,0,0
1.6,29.334021,53.816722,0.1,0.826909,0,0
1.7,29.168126,50.3411,0.1,0.903817,0,0
1.8,29.143548,47.270034,0,0.980726,0,0
1.9,29.198238,44.537675,0,1.057635,0,0
2,29.315457,42.091638,0,1.134543,0,0
2.1,29.490317,39.889746,0,1.805201,0,0
2.2,29.716504,37.897665,0,2.475859,0,0
2.3,29.985385,36.087167,0,3.146516,0,0
2.4,30.289442,34.434841,0,3.817174,0,0
2.5,30.620853,32.921106,0,4.487832,0,0
2.6,30.970262,31.529463,0,5.15849,0,0
2.7,31.33786,30.245917,0,5.829147,0,0
2.8,31.709572,29.058516,0,6.499805,0,0
2.9,32.084909,27.956998,0,7.170463,0,0
3,32.45888,26.9325,0,7.84112,0,0
3.1,32.828082,25.977329,0,7.893068,0,0
3.2,33.190357,25.084777,0,7.945015,0,0
3.3,33.544773,24.248969,0,7.996963,0,0
3.4,33.890181,23.464738,0,8.04891,0,0
3.5,34.194672,22.727519,0,8.100858,0,0
3.6,34.391538,22.033268,0,8.152806,0,0
3.7,34.642107,21.37839,0,8.204753,0,0
3.8,34.917725,20.759675,0,8.256701,0,0
3.9,35.201844,20.174251,0,8.308648,0,0
4,35.739404,19.61954,0,8.360596,0,0
4.1,35.585813,19.093223,0,8.434536,0,0
4.2,35.860068,18.593206,0,8.508476,0,0
4.3,36.14303,18.117593,0,8.582417,0,0
4.4,36.618694,17.664667,0,8.656357,0,0
4.5,36.73098,17.232866,0,8.730298,0,0
4.6,37.048514,16.820767,0,8.804238,0,0
4.7,37.580861,16.427072,0,8.878179,0,0
4.8,37.957279,16.050593,0,8.952119,0,0
4.9,38.381109,15.690242,0,9.02606,0,0
5,38.874923,15.345018,0,9.1,1.625077,0
5.1,39.469352,15.014004,0,9.029,1.568654,0
5.2,40.199911,14.696353,0,8.958,1.51223,0
5.3,41.037707,14.391283,0,8.887,1.455807,0
5.4,42.29988,14.098073,0,8.816,1.399383,0
5.5,43.938126,13.816054,0,8.745,1.34296,0
5.6,45.724126,13.544608,0,8.674,1.286536,0
5.7,47.193462,13.283159,0,8.603,1.230113,0
5.8,47.822603,13.031174,0,8.532,1.17369,0
5.9,47.98346,12.788155,0,8.461,1.117266,0
6,47.162816,12.55364,0,8.39,1.060843,0
6.1,46.478667,12.327196,0,8.319,1.004419,0
6.2,45.62677,12.10842,0,8.248,0.947996,0
6.3,45.941916,11.896936,0,8.177,0.891572,0
6.4,45.940191,11.692389,0,8.106,0.835149,0
6.5,45.761464,11.494449,0,8.035,0.778725,0
6.6,47.066132,11.302806,0,7.964,0.722302,0
6.7,47.484895,11.117169,0,7.893,0.665878,0
6.8,48.265515,10.937264,0,7.822,0.609455,0
6.9,49.139084,10.762834,0,7.751,0.553031,0
7,49.623392,10.593635,0,7.68,0.496608,0
7.5,49.71365,9.81857,0,7.063333,0.65884,0
8,48.353631,9.144961,0,6.446667,0.821072,0
9,53.614058,8.032496,0,5.213333,1.145536,0
9.5,53.283182,7.568192,0,4.596667,1.307768,0
10,54.848352,7.152542,0,3.98,1.47,0.01
11,56.66733,6.439869,0,2.285,1.635,0.07
12,52.582228,5.851439,0,0.59,1.8,0.13
15,47.9,4.576582,0,0.2,4.9,1.4
20,47.9,4.576582,0,0.2,4.9,1.4
